TIPO_INSTITUCION	INSTITUCION	SEDE	REGION	CARRERA	HORARIO	ACREDITACION_CARRERA	TOTAL_MATRICULADOS	TOTAL_MATRICULADOS_PRIMER_AÑO
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	ASISTENTE JURIDICO	Vespertino	No Acreditada	26	9
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN TRABAJO SOCIAL	Diurno	No Acreditada	54	19
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO EN TRABAJO SOCIAL	Vespertino	No Acreditada	32	9
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA Y PRIMER CICLO BASICO	Diurno	No Acreditada	44	32
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	CASA CENTRAL (TEMUCO)	IX REGIÓN	TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA Y PRIMER CICLO BASICO	Vespertino	No Acreditada	32	18
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	ADMINISTRACION DE EMPRESAS	Diurno	No Acreditada	17	12
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	ADMINISTRACION DE EMPRESAS	Vespertino	No Acreditada	72	27
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	CONTABILIDAD GENERAL	Vespertino	No Acreditada	6	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO EN CONSTRUCCION CIVIL	Diurno	No Acreditada	37	13
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO EN CONSTRUCCION CIVIL	Vespertino	No Acreditada	65	28
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	PREVENCION DE RIESGOS	Diurno	No Acreditada	77	42
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	PREVENCION DE RIESGOS	Vespertino	No Acreditada	127	59
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	COMPUTACION E INFORMATICA	Diurno	No Acreditada	21	12
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	COMPUTACION E INFORMATICA	Vespertino	No Acreditada	47	19
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	ASISTENTE JURIDICO	Diurno	No Acreditada	6	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	ASISTENTE JURIDICO	Vespertino	No Acreditada	1	
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO EN TRABAJO SOCIAL	Vespertino	No Acreditada	60	22
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA Y PRIMER CICLO BASICO	Diurno	No Acreditada	44	28
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO DE NIVEL SUPERIOR EN EDUCACION PARVULARIA Y PRIMER CICLO BASICO	Vespertino	No Acreditada	54	31
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO SUPERIOR EN ENFERMERIA	Diurno	No Acreditada	82	82
CENTRO DE FORMACIÓN TÉCNICA	CFT ANDRES BELLO	SEDE ANGOL	IX REGIÓN	TECNICO SUPERIOR EN ENFERMERIA	Vespertino	No Acreditada	133	22
CENTRO DE FORMACIÓN TÉCNICA	CFT AUSTRAL	SEDE COYHAIQUE	XI REGIÓN	MANTENCION INDUSTRIAL	Vespertino	No Acreditada	7	
CENTRO DE FORMACIÓN TÉCNICA	CFT AUSTRAL	SEDE COYHAIQUE	XI REGIÓN	SECRETARIADO EJECUTIVO BILINGÜE	Diurno	No Acreditada	7	
CENTRO DE FORMACIÓN TÉCNICA	CFT AUSTRAL	SEDE COYHAIQUE	XI REGIÓN	ADMINISTRACION CONTABLE Y FINANCIERA	Vespertino	No Acreditada	3	
CENTRO DE FORMACIÓN TÉCNICA	CFT AUSTRAL	SEDE COYHAIQUE	XI REGIÓN	OBRAS CIVILES	Vespertino	No Acreditada	15	
CENTRO DE FORMACIÓN TÉCNICA	CFT BARROS ARANA	CASA CENTRAL (CONCEPCION)	VIII REGIÓN	TECNICO JURIDICO	Vespertino	No Acreditada	3	
CENTRO DE FORMACIÓN TÉCNICA	CFT BARROS ARANA	CASA CENTRAL (CONCEPCION)	VIII REGIÓN	TECNICO EN ENFERMERIA	Diurno	No Acreditada	66	
CENTRO DE FORMACIÓN TÉCNICA	CFT BARROS ARANA	CASA CENTRAL (CONCEPCION)	VIII REGIÓN	TECNICO EN PODOLOGIA	Vespertino	No Acreditada	30	21
CENTRO DE FORMACIÓN TÉCNICA	CFT BARROS ARANA	CASA CENTRAL (CONCEPCION)	VIII REGIÓN	TECNICO EN EDUCACION PARVULARIA	Diurno	No Acreditada	1	
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	FINANZAS	Diurno	No Acreditada	36	20
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	FINANZAS	Vespertino	No Acreditada	107	69
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	TURISMO	Diurno	No Acreditada	32	19
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	INFORMATICA Y REDES	Diurno	No Acreditada	40	22
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	INFORMATICA Y REDES	Vespertino	No Acreditada	31	22
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION EN RECURSOS HUMANOS	Diurno	No Acreditada	145	78
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION EN RECURSOS HUMANOS	Vespertino	No Acreditada	215	123
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION EN COMERCIO EXTERIOR	Diurno	No Acreditada	157	89
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION EN COMERCIO EXTERIOR	Vespertino	No Acreditada	204	119
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	MARKETING Y GESTION COMERCIAL	Diurno	No Acreditada	34	22
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	MARKETING Y GESTION COMERCIAL	Vespertino	No Acreditada	53	31
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	PREVENCION DE RIESGOS	Diurno	No Acreditada	103	65
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	PREVENCION DE RIESGOS	Vespertino	No Acreditada	33	24
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION COMERCIAL	Diurno	No Acreditada	112	62
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION COMERCIAL	Vespertino	No Acreditada	177	95
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	LOGISTICA OPERATIVA	Diurno	No Acreditada	28	25
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	LOGISTICA OPERATIVA	Vespertino	No Acreditada	239	123
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	CONTABILIDAD GENERAL	Diurno	No Acreditada	89	55
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	CONTABILIDAD GENERAL	Vespertino	No Acreditada	91	47
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	SUPERVISION EN RETAIL	Diurno	No Acreditada	31	17
CENTRO DE FORMACIÓN TÉCNICA	CFT CAMARA DE COMERCIO DE SANTIAGO	CASA CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	SUPERVISION EN RETAIL	Vespertino	No Acreditada	2	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	MAQUINARIA PESADA	Diurno	No Acreditada	239	120
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	ENFERMERIA Y TELEMEDICINA	Diurno	No Acreditada	139	38
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	GEOMINERIA	Diurno	No Acreditada	130	80
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	MECANICA DE EQUIPO PESADO	Diurno	No Acreditada	183	81
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	OPERACION DE PLANTAS MINERAS	Diurno	No Acreditada	71	40
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	ADMINISTRACION DE REDES Y SOPORTE COMPUTACIONAL	Diurno	No Acreditada	8	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	PREVENCION DE RIESGOS	Diurno	No Acreditada	174	86
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	DISEÑO PUBLICITARIO DIGITAL	Diurno	No Acreditada	6	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	CASA CENTRAL (COQUIMBO)	IV REGIÓN	ELECTRICIDAD Y ELECTRONICA INDUSTRIAL	Diurno	No Acreditada	93	40
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	MAQUINARIA PESADA	Diurno	No Acreditada	55	36
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	ENFERMERIA Y TELEMEDICINA	Diurno	No Acreditada	13	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	GEOMINERIA	Diurno	No Acreditada	110	62
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	MECANICA DE EQUIPO PESADO	Diurno	No Acreditada	3	1
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	MECANICA DE EQUIPO PESADO	Vespertino	No Acreditada	38	31
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	INSTRUMENTACION Y CONTROL INDUSTRIAL	Diurno	No Acreditada	3	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	INSTRUMENTACION Y CONTROL INDUSTRIAL	Vespertino	No Acreditada	32	17
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	ADMINISTRACION DE REDES Y SOPORTE COMPUTACIONAL	Diurno	No Acreditada	1	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	PREVENCION DE RIESGOS	Diurno	No Acreditada	54	20
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	PREVENCION DE RIESGOS	Vespertino	No Acreditada	32	29
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	DISEÑO PUBLICITARIO DIGITAL	Diurno	No Acreditada	33	15
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	ELECTRICIDAD Y ELECTRONICA INDUSTRIAL	Diurno	No Acreditada	6	1
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE ANTOFAGASTA	II REGIÓN	ELECTRICIDAD Y ELECTRONICA INDUSTRIAL	Vespertino	No Acreditada	33	19
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	MAQUINARIA PESADA	Diurno	No Acreditada	101	40
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	ENFERMERIA Y TELEMEDICINA	Diurno	No Acreditada	153	50
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	MECANICA DE EQUIPO PESADO	Diurno	No Acreditada	33	15
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	INSTRUMENTACION Y CONTROL INDUSTRIAL	Diurno	No Acreditada	41	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	ELECTRICIDAD Y EFICIENCIA ENERGETICA	Diurno	No Acreditada	25	25
CENTRO DE FORMACIÓN TÉCNICA	CFT CEDUC - UCN	SEDE LEBU	VIII REGIÓN	ELECTRICIDAD Y ELECTRONICA INDUSTRIAL	Diurno	No Acreditada	44	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEITEC	SEDE CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	TECNICO JURIDICO	Vespertino	No Acreditada	9	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEITEC	SEDE CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ADMINISTRACION DE SEGURIDAD PRIVADA	Vespertino	No Acreditada	2	
CENTRO DE FORMACIÓN TÉCNICA	CFT CEITEC	SEDE CENTRAL (SANTIAGO)	REGIÓN METROPOLITANA	ORIENTACION Y MEDIACION FAMILIAR Y SOCIAL	Vespertino	No Acreditada	188	118
